frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
121,83,480,33,48,59,25,27,27,M
121,94,487,174,59,71,39,42,40,M
121,95,374,108,51,65,30,32,32,M
121,96,595,104,49,72,34,35,35,M
121,70,7,330,95,117,25,26,26,M
121,36,583,2,44,63,41,45,45,M
121,101,198,133,54,62,35,38,38,M
122,83,483,29,49,60,25,25,26,M
122,94,471,167,55,66,35,39,38,M
122,96,578,116,50,72,35,39,38,M
122,36,586,1,41,59,41,46,45,M
122,101,228,131,55,64,36,39,38,M
123,83,492,21,49,60,25,25,26,M
123,94,454,165,54,66,34,37,36,M
123,96,559,118,53,75,45,51,50,M
123,36,586,2,37,54,44,49,46,M
123,101,253,123,57,66,42,46,45,M
124,83,502,17,51,61,25,25,26,M
124,94,446,163,51,61,45,51,50,M
124,96,551,116,55,78,44,50,48,M
124,36,584,2,37,52,44,49,47,M
124,101,277,118,55,63,54,65,60,M
125,83,506,16,51,61,21,24,24,M
125,94,444,162,50,60,51,57,54,M
125,96,548,116,57,78,42,47,45,M
125,36,584,2,36,52,44,49,48,M
125,101,284,116,54,62,49,54,53,M
126,83,522,17,50,60,24,25,26,M
126,94,452,161,51,60,53,60,56,M
126,96,549,120,58,81,38,42,40,M
126,36,582,2,38,54,44,49,48,M
126,101,292,117,57,65,42,47,45,M
127,83,547,16,53,64,25,26,26,M
127,96,560,124,59,81,40,44,43,M
127,70,9,307,73,94,26,27,28,F
127,36,581,2,38,55,27,29,29,M
127,101,304,111,56,64,38,41,40,M
128,96,569,122,61,82,43,48,46,M
128,70,32,317,75,96,27,28,28,F
128,36,580,5,45,64,23,25,26,M
128,101,315,106,57,66,37,40,40,M
128,104,493,159,54,56,44,49,47,M
128,105,443,90,44,60,34,35,35,F
129,96,570,127,62,83,39,44,42,M
129,70,50,326,77,96,27,28,28,F
129,36,578,3,47,67,34,35,35,M
129,101,329,105,56,65,42,47,45,M
129,104,493,157,56,59,33,34,35,M
129,105,452,90,50,68,35,39,38,M
130,96,559,138,62,83,35,38,38,M
130,70,47,341,79,97,27,29,29,F
130,36,581,3,40,58,41,45,44,M
130,101,349,105,53,61,35,37,37,M
130,104,489,154,59,62,34,36,36,M
131,96,554,142,63,82,34,36,36,M
131,70,46,347,80,97,25,26,26,F
131,36,582,3,38,55,39,44,43,M
131,101,356,105,51,59,35,37,37,M
131,104,488,153,60,63,33,35,35,M
131,109,179,144,68,86,31,34,34,M
131,110,243,213,84,98,27,28,28,F
132,96,539,142,63,83,39,43,42,M
132,70,16,355,85,103,27,28,28,F
132,36,582,2,38,57,44,49,47,M
132,101,371,102,52,62,37,40,40,M
132,104,486,154,61,66,34,35,35,M
132,109,204,143,67,85,34,35,35,M
133,96,537,141,64,85,34,37,36,M
133,101,384,101,52,61,36,39,39,M
133,104,486,155,60,64,27,29,29,M
133,109,237,137,64,81,26,27,28,M
134,96,549,148,69,92,38,41,40,M
134,101,395,102,51,60,35,37,37,M
134,104,484,155,58,63,29,31,32,M
134,109,273,124,67,84,33,34,35,M
135,96,569,152,70,93,34,36,36,M
135,101,400,98,54,65,35,38,38,M
135,104,470,155,57,63,31,34,34,M
135,109,314,122,64,80,29,31,31,M
136,96,583,158,69,92,34,35,35,M
136,101,412,91,51,63,40,44,44,M
136,104,444,150,61,68,37,39,39,M
136,109,363,122,64,79,27,29,29,M
136,110,210,182,67,79,31,34,34,M
137,96,588,160,69,91,35,38,37,M
137,101,416,88,50,62,44,49,48,M
137,104,434,148,63,70,43,48,46,M
137,109,379,122,64,79,28,30,30,M
137,110,208,181,66,77,28,30,30,M
138,96,584,169,70,95,34,37,36,M
138,101,427,89,54,66,34,35,35,M
138,109,415,118,62,78,29,31,31,M
139,96,566,181,71,96,32,34,35,M
139,109,452,104,70,88,27,29,29,M
139,119,310,15,40,53,32,34,35,M
139,116,34,336,29,106,24,25,26,M
140,96,546,180,75,101,29,32,32,F
140,105,507,109,65,88,34,35,35,M
140,36,587,3,51,76,35,37,37,M
140,104,388,136,63,73,29,31,31,M
141,96,528,183,80,106,35,37,37,F
141,36,586,3,52,80,30,33,32,M
141,104,360,132,58,66,26,27,28,M
142,96,517,199,78,105,33,34,35,F
142,36,587,4,43,66,37,39,39,M
142,104,329,126,53,62,40,45,44,M
142,109,592,97,69,85,25,25,26,M
143,96,513,205,78,105,39,44,42,F
143,36,587,4,39,61,35,38,38,M
143,104,318,123,52,62,35,37,37,M
143,128,354,339,89,116,31,34,34,M
143,129,244,365,95,109,31,34,34,M
143,109,609,96,69,85,14,23,21,M
144,96,500,205,79,104,27,28,29,F
144,36,582,3,42,67,42,47,45,M
144,104,303,118,48,57,37,39,39,M
144,128,356,376,83,109,29,31,30,M
144,109,664,97,70,86,28,29,30,M
145,96,474,213,79,105,33,35,35,F
145,36,584,1,41,63,29,31,32,M
145,109,734,89,71,87,26,27,28,M
145,130,448,372,86,109,27,28,28,M
146,36,575,1,40,61,27,29,29,M
147,36,576,2,37,55,23,25,25,M
148,36,580,2,33,49,44,49,46,M
149,36,581,2,33,48,37,41,40,M
149,144,705,415,105,121,28,30,30,M
149,145,852,373,106,121,29,31,32,F
149,146,274,265,75,103,29,31,32,M
149,147,345,76,49,56,35,39,38,M
150,36,583,2,33,48,39,43,41,M
150,145,831,428,110,126,25,27,27,M
150,146,235,284,80,109,29,31,30,M
150,147,342,75,44,50,34,35,35,M
151,36,585,2,31,46,37,39,39,M
151,147,338,71,43,49,33,34,35,M
152,147,333,63,43,49,35,38,38,M
153,36,588,2,30,45,40,44,44,M
153,147,318,61,45,51,33,34,35,M
154,36,589,3,31,46,39,44,42,M
154,147,307,55,45,50,30,33,32,M
155,36,589,3,31,47,39,44,42,M
155,147,303,52,45,51,34,36,36,M
156,36,588,1,32,45,51,57,54,M
156,147,298,51,45,51,32,34,35,M
157,147,299,49,45,52,29,31,31,M
158,147,298,46,41,48,28,30,30,M
160,36,580,1,43,64,39,44,42,M
161,36,578,1,45,66,36,39,39,M
161,152,80,113,70,76,32,34,35,M
163,36,581,1,42,63,44,48,46,M
164,36,583,1,39,58,49,55,53,M
165,36,581,1,35,54,36,39,38,M
165,152,70,158,63,69,31,34,33,M
166,36,572,3,35,54,35,38,37,M
166,152,101,163,63,70,35,37,37,M
167,36,569,4,35,53,37,39,39,M
167,152,110,165,63,70,38,41,40,M
167,159,333,97,63,69,29,31,31,M
168,36,560,2,35,52,35,38,37,M
168,159,359,83,63,69,25,26,26,M
169,36,549,1,34,50,36,39,38,M
169,159,399,82,61,66,26,27,28,M
170,36,540,1,33,49,31,34,33,M
170,159,440,81,61,67,27,29,29,M
171,36,538,1,33,49,34,35,35,M
171,159,461,67,63,68,27,29,29,M
172,36,538,2,35,51,39,43,41,M
172,159,470,68,63,68,36,39,39,M
173,159,472,68,62,69,36,39,39,M
173,168,335,137,55,61,34,37,36,M
173,169,163,68,60,77,30,33,32,M
174,159,464,62,62,68,27,28,28,M
174,168,353,131,58,63,32,34,35,M
174,169,193,66,59,77,25,26,26,M
174,36,548,1,32,46,37,40,40,M
175,159,460,51,62,69,25,27,27,M
175,168,379,124,57,63,30,33,32,M
175,169,233,58,61,78,28,29,29,M
176,159,462,52,63,70,29,30,30,M
